,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum,Weekly_Sales_sum
Store,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-08,16.436909,21.3698946,4.6162222,21.351438700000003,3.171730999999999,16.526941,4.9672544,10.041370899999995,5.495205499999999,21.93048749999999,15.280086400000004,11.0004637,19.672205299999995,26.234699500000012,6.521224800000001,4.774092999999998,7.8903602,12.053075,15.076371699999997,24.013954699999992,7.985938799999999,10.3301737,13.647215799999998,13.887256300000004,6.772316299999999,10.341532099999997,18.742897899999996,16.723522900000003,5.386344599999998,4.651215100000001,14.692640500000001,10.876161899999994,2.7459343,9.562289600000001,12.306134999999998,4.6754674,5.360067300000001,3.5849613999999996,12.305968000000004,10.019438000000001,10.8653318,5.4338401,6.470292799999999,2.8109095,8.9069196
2010-02-15,16.4195744,21.37809499999999,4.2072896,21.883073900000003,3.118256999999999,16.063338599999998,5.241049200000001,9.948013999999997,5.526774800000001,21.7602852,15.746840800000001,11.178633299999994,20.309334599999996,17.0421884,6.8249807,4.7204428,8.4195491,11.878807000000002,15.3654995,21.091079,8.0932144,10.225712500000002,13.808920800000001,14.141070999999998,5.833740200000001,10.156840899999999,17.453627200000003,15.5896849,5.2967295,4.9737457,15.439472299999997,11.235661200000001,2.9488283,9.946109899999998,11.688203800000004,4.6956370000000005,5.298526999999999,3.422149,12.662290700000003,9.553382899999999,10.7565634,5.757129600000001,6.829189900000001,2.8685713000000006,6.569890700000001
2010-02-22,16.128311699999998,21.244515400000004,4.2164218999999985,20.49860259999999,3.034475700000001,15.6713807,5.067605399999999,9.639603700000002,5.113279,21.134325799999992,15.032986999999997,10.954336499999998,19.7027464,22.045567000000002,6.608387500000001,4.6986870000000005,8.007317399999998,11.506634199999997,15.159854900000003,21.6154976,8.672832499999998,9.884676099999995,13.195880399999997,13.8536249,6.762606699999999,9.9934855,19.450703300000004,14.913004200000001,5.423990699999999,4.6351326,14.733867499999997,10.825590599999996,2.9685083000000003,9.839692299999998,12.706586399999999,4.7028103,5.103825,3.2723792,12.305919700000004,9.162892,10.520347399999997,5.0879487,6.5899754999999995,2.679563,8.4126431
2010-03-01,14.097275900000003,18.6509727,4.0720486,19.2572884,2.7028163,14.329532100000002,4.960832400000001,8.475921099999999,4.7377327000000005,20.067877000000003,13.3640465,10.486171699999996,18.1785032,20.955916299999995,5.649232,4.4324217,7.4954955000000005,10.681574500000004,13.732700599999998,18.981939499999996,7.4959723999999985,8.9976148,11.987096499999996,11.5872274,6.2851657,8.5538501,13.909542699999998,15.421733300000001,4.884176100000001,4.7233468,13.443544100000002,10.532471,2.8405277,9.057561300000001,10.2066956,4.4751944,5.136158200000001,3.3422272999999993,11.685820199999998,8.639413999999999,9.919427299999999,4.915105800000001,6.1870278999999995,2.7307907,7.436416500000002
2010-03-08,15.548066799999999,19.9101313,4.1520204,19.710574400000006,2.8886259000000014,16.013558200000002,4.914195499999999,8.815039499999997,5.072978800000001,19.878880900000002,14.266226499999997,10.7701827,19.399804300000003,22.3760375,6.053254299999998,4.4418185,7.833000500000002,11.797385000000002,14.958445699999999,21.192137199999998,7.4776916999999985,10.092153700000003,13.1117593,14.1238737,6.6575006000000005,10.0566958,13.137297199999997,16.084354500000003,5.3508791,4.725910699999999,13.8487051,10.6656674,2.9148488999999995,9.1829579,11.626102699999997,4.802034300000001,5.192556799999998,3.7223988999999995,12.662542099999998,9.901522799999997,10.635924900000003,5.549724199999999,6.586000500000001,2.8461726999999994,7.779512200000004
2010-03-15,14.402395900000005,19.904867799999998,3.842006900000001,18.9432409,2.972935900000001,15.5862136,4.804520999999999,8.6033616,4.941457999999999,19.4135813,13.318911199999997,9.8619223,18.4068694,21.5603506,6.042725900000001,4.4539374,7.639618199999999,11.3880032,14.678892,20.1097484,7.1231289,9.6718737,14.080829599999994,13.0934016,6.606199900000001,9.633930899999998,19.2511312,13.268771099999999,5.1905449,4.6818992999999995,13.661933499999998,10.933193700000004,3.12161,9.212478800000001,11.503443899999999,4.4143419999999995,5.1301535000000005,3.4202392000000006,12.4439183,8.993524,10.239977099999999,5.8836362,6.4538694,2.7219468,7.656874200000002
2010-03-22,14.725157899999997,19.460708800000006,3.7532859,18.9742936,2.8170640999999996,16.930699100000002,5.744502300000001,8.399109999999999,4.8579261,19.468750599999993,13.642078599999998,9.720883399999998,18.797948899999998,20.662193000000002,5.937106699999997,5.043073499999998,7.520545199999998,10.875099700000002,13.329403499999996,19.518484299999994,7.270699999999999,9.661570899999997,12.290083199999996,12.225527100000003,6.5979584,9.0336655,17.0062797,12.800174300000002,4.968516,4.457363599999999,13.3226101,10.5978178,2.8223572999999997,8.920708200000002,11.176140899999998,4.2885199,4.6002073999999995,3.3302547,13.0159013,8.948653000000002,10.0664269,5.199141,6.6809849,2.6962420000000002,7.738194900000001
2010-03-29,14.044299200000005,17.501978100000002,3.5994927000000003,17.625393,2.7328297,14.7203338,5.147315999999998,7.725391199999998,4.8494655999999985,18.935324600000005,12.456292699999997,9.821659199999997,18.820959799999994,20.503962700000002,5.921739900000002,4.831771999999997,7.9309764000000005,10.927040900000001,14.270234499999999,18.947429500000002,6.864975300000001,10.120770000000002,13.107018,12.583115599999994,6.966876,8.936129999999997,18.3671484,12.452687699999995,5.5298533999999995,4.424573499999999,12.2963866,10.760215800000003,2.6289376,8.807423499999997,10.789004400000001,4.0443850999999995,5.157779700000002,3.3585811,12.350946600000004,8.733545799999998,10.1519646,4.780216800000001,6.2309793,2.7627949,7.825633800000001
